Table 1
Agent that provides to QBIC;Existing property in OpenBIS;New property in OpenBIS;OpenBIS object type;Metadata Level;Specific metadata;SRA Structured comment name;SRA Item;EGA metadata object;EGA item;EGA label;Definition;Expected value;OpenBIS type;json type;Value syntax;Example;Section;migs_eu;migs_ba;migs_pl;migs_vi;migs_org;me;mimarks_s;mimarks_c;misag;mimag;miuvig;ega;Plant;Virus;SarsCov;PathogenEnv;PathogenCl;Microbe;Metagenome;Invertebrate;Human;BetaLactamase
Submitting lab;;Q_LATITUDE_LONGITUDE;Q_BIOLOGICAL_ENTITY;Sample;;lat_lon;geographic location (latitude and longitude);;-;;The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system;decimal degrees;INTEGER;number;{float} {float};50.586825 6.408977;environment;M;M;M;M;M;M;M;M;M;M;M;-;X;X;X;M;M;X;M;X;-;X
Submitting lab;;Q_GEO_LOCATION_NAME;Q_BIOLOGICAL_ENTITY;Sample;;geo_loc_name;geographic location (country and/or sea,region);Sample;region;;The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ);"country or sea name (INSDC or GAZ);region(GAZ);specific location name";MULTILINE_VARCHAR;string;"{term};{term};{text}";"Germany;North Rhine-Westphalia;Eifel National Park";environment;M;M;M;M;M;M;M;M;M;M;M;X;M;M;M;M;M;M;M;M;-;X
Submitting lab;;Q_COLLECTION_DATE;Q_BIOLOGICAL_ENTITY;Sample;;collection_date;collection date;;-;;"The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant";date and time;TIMESTAMP;string;{timestamp};2018-05-11T10:00:00+01:00;environment;M;M;M;M;M;M;M;M;M;M;M;-;X;M;M;M;M;M;M;M;-;X
Submitting lab;;Q_ENVIRONMENT_BROAD_SCALE;Q_BIOLOGICAL_ENTITY;Sample;;env_broad_scale;broad-scale environmental context;;-;;In this field, report which major environmental system your sample or specimen came from. The systems identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. were you in the desert or a rainforest?). We recommend using subclasses of ENVO’s biome class: http://purl.obolibrary.org/obo/ENVO_00000428. Format (one term): termLabel [termID], Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a water sample from the photic zone in middle of the Atlantic Ocean, consider: oceanic epipelagic zone biome [ENVO:01000033]. Example: Annotating a sample from the Amazon rainforest consider: tropical moist broadleaf forest biome [ENVO:01000228]. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html;Add terms that identify the major environment type(s) where your sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes e.g.: mangrove biome [ENVO:01000181]|estuarine biome [ENVO:01000020];MULTILINE_VARCHAR;string;{termLabel} {[termID]};forest biome [ENVO:01000174];environment;M;M;M;M;M;M;M;M;M;M;M;-;X;M;M;M;M;C;C;C;-;X
Submitting lab;;Q_ENVIRONMENT_LOCAL_SCALE;Q_BIOLOGICAL_ENTITY;Sample;;env_local_scale;local environmental context;;-;;"In this field, report the entity or entities which are in your sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. Please use terms that are present in ENVO and which are of smaller spatial grain than your entry for env_broad_scale. Format (one term): termLabel [termID]; Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336]. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html";Add terms that identify environmental entities having causal influences upon the entity at time of sampling, multiple terms can be separated by pipes, e.g.: shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316];MULTILINE_VARCHAR;string;{termLabel} {[termID]};litter layer [ENVO:01000338];environment;M;M;M;M;M;M;M;M;M;M;M;-;X;M;M;M;M;C;C;C;-;X
Submitting lab;;Q_ENVIRONMENTAL_MATERIAL;Q_BIOLOGICAL_SAMPLE;Sample;;env_medium;environmental medium;;-;;"In this field, report which environmental material or materials (pipe separated) immediately surrounded your sample or specimen prior to sampling, using one or more subclasses of ENVO’s environmental material class: http://purl.obolibrary.org/obo/ENVO_00010483. Format (one term): termLabel [termID]; Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air ENVO_00002005. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html";Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160];MULTILINE_VARCHAR;string;{termLabel} {[termID]};soil [ENVO:00001998];environment;M;M;M;M;M;M;M;M;M;M;M;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_ISOL_GROWTH_CONDT;Q_BIOLOGICAL_SAMPLE;Sample;;isol_growth_condt;isolation and growth condition;;-;;Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material;PMID,DOI or URL;MULTILINE_VARCHAR;string;{PMID}|{DOI}|{URL};doi: 10.1016/j.syapm.2018.01.009;nucleic acid sequence source;M;M;M;M;M;-;-;M;-;-;-;X;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_PROPAGATION;Q_BIOLOGICAL_SAMPLE;Sample;;propagation;propagation;;-;;This field is specific to different taxa. For phages: lytic/lysogenic, for plasmids: incompatibility group, for eukaryotes: sexual/asexual (Note: there is the strong opinion to name phage propagation obligately lytic or temperate, therefore we also give this choice;"for virus: lytic, lysogenic, temperate, obligately lytic; for plasmid: incompatibility group; for eukaryote: asexual, sexual";CONTROLLEDVOCABULARY;string;{text};lytic;nucleic acid sequence source;C;-;M;M;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_TARGET_GENE;Q_NGS_MEASUREMENT;Experiment;;target_gene;target gene;;-;;Targeted gene or locus name for marker gene studies;gene name;VARCHAR;string;{text};16S rRNA, 18S rRNA, nif, amoA, rpo;sequencing;-;-;-;-;-;-;M;M;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_TAXONOMIC_IDENTITY_MARKER;Q_BIOLOGICAL_SAMPLE;Sample;;tax_ident;taxonomic identity marker;;-;;The phylogenetic marker(s) used to assign an organism name to the SAG or MAG, e.g. 16S rRNA;enumeration;CONTROLLEDVOCABULARY;string;[16S rRNA gene|multi-marker approach|other];other: rpoB gene;sequencing;C;C;C;C;C;-;-;-;M;M;X;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_REF_BIOMATERIAL;Q_BIOLOGICAL_ENTITY;Sample;Microbiology;ref_biomaterial;reference for biomaterial;;-;;"Primary publication if isolated before genome publication; otherwise, primary genome report";PMID, DOI or URL;VARCHAR;string;{PMID}|{DOI}|{URL};doi:10.1016/j.syapm.2018.01.009;nucleic acid sequence source;X;M;X;X;X;X;-;-;X;X;X;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_SOURCE_UVIG;Q_NGS_SINGLE_SAMPLE_RUN;Sample;Virology;source_uvig;source of UViGs;;-;;Type of dataset from which the UViG was obtained;enumeration;CONTROLLEDVOCABULARY;string;[metagenome (not viral targeted)|viral fraction metagenome (virome)|sequence-targeted metagenome|metatranscriptome (not viral targeted)|viral fraction RNA metagenome (RNA virome)|sequence-targeted RNA metagenome|microbial single amplified genome (SAG)|viral single amplified genome (vSAG)|isolate microbial genome|other];viral fraction metagenome (virome);nucleic acid sequence source;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_VIRUS_ENRICH_APPR;Q_NGS_SINGLE_SAMPLE_RUN;Sample;Virology;virus_enrich_appr;virus enrichment approach;;-;;List of approaches used to enrich the sample for viruses, if any;enumeration;CONTROLLEDVOCABULARY;string;[filtration|ultrafiltration|centrifugation|ultracentrifugation|PEG Precipitation|FeCl Precipitation|CsCl density gradient|DNAse|RNAse|targeted sequence capture|other|none];filtration + FeCl Precipitation + ultracentrifugation + DNAse;nucleic acid sequence source;-;-;-;C;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_SORTING_TECH;Q_TEST_SAMPLE;Sample;;sort_tech;sorting technology;;-;;Method used to sort/isolate cells or particles of interest;enumeration;CONTROLLEDVOCABULARY;string;[flow cytometric cell sorting|microfluidics|lazer-tweezing|optical manipulation|micromanipulation|other];optical manipulation;sequencing;-;-;-;-;-;-;-;-;M;-;C;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_SINGLE_CELL_LYSIS_APPR;Q_TEST_SAMPLE;Sample;Q_TEST_SAMPLE;single_cell_lysis_appr;single cell or viral particle lysis approach;;-;;Method used to free DNA from interior of the cell(s) or particle(s);enumeration;CONTROLLEDVOCABULARY;string;[chemical|enzymatic|physical|combination];enzymatic;sequencing;-;-;-;-;-;-;-;-;M;-;C;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_WGA_AMP_APPR;Q_NGS_SINGLE_SAMPLE_RUN;Sample;Virology;wga_amp_appr;WGA amplification approach;;-;;Method used to amplify genomic DNA in preparation for sequencing;enumeration;CONTROLLEDVOCABULARY;string;[pcr based|mda based];mda based;sequencing;-;-;-;-;-;-;-;-;M;-;C;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;;Q_SECONDARY_NAME;Q_BIOLOGICAL_ENTITY;Sample;;isolate;Organism group sampled;Sample;subject_id;;Organism group: identification or description of the specific individual from which this sample was obtained;;VARCHAR;string;;;;-;-;C;M;-;-;-;-;-;-;-;M;C;M;M;C;C;C;-;C;M;C
Submitting lab;;Q_HOST;Q_BIOLOGICAL_SAMPLE;Sample;;host;Natural host;;-;;The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, 'Homo sapiens'.;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;C;M;-;M;C;C;C;-;X
Submitting lab;;Q_HOST_DISEASE;Q_BIOLOGICAL_SAMPLE;Sample;;host_disease;Name of relevant desease caused in host;;-;;Name of relevant disease, e.g. Salmonella gastroenteritis. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1009 or http://www.ncbi.nlm.nih.gov/mesh;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;M;-;M;-;-;-;-;-
Submitting Lab;;Q_PHENOTYPE;Q_BIOLOGICAL_SAMPLE;Sample;;Phenotype;Phenotype ontology;Sample;phenotype;;Experimental Ontology Factor accession for phenotype;http://www.ebi.ac.uk/efo/;VARCHAR;string;;EFO:0000182;;-;-;-;-;-;-;-;-;-;-;-;M;;;;;;;;;;
Submitting lab;;Q_AGE;Q_BIOLOGICAL_ENTITY;Sample;;age;Age at sampling time;Sample;sample_age;;"age at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees";;INTEGER;number;;;;-;-;-;-;-;-;-;-;-;-;-;X;C;-;-;-;-;-;-;X;M;-
Submitting lab;;Q_SAMPLE_TYPE;Q_BIOLOGICAL_SAMPLE;Sample;;sample_type;Sample type;Sample;description;;Sample type, such as cell culture, mixed culture, tissue sample, whole organism, single cell, metagenomic assembly;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;X;X;-;-;-;-;M;-;-;X;-
Submitting lab;Q_NCBI_TAXONOMY;;Q_BIOLOGICAL_ENTITY;Sample;;organism;Descriptive organism name;Sample;taxon_id;;The most descriptive organism name for this sample (to the species, if possible). It is OK to submit an organism name that is not in our database. In the case of a new species, provide the desired organism name, and our taxonomists may assign a provisional taxID. In the case of unidentified species, choose the appropriate Genus and include 'sp.', e.g., 'Escherichia sp.'. When sequencing a genome from a non-metagenomic source, include a strain or isolate name too, e.g., 'Pseudomonas sp. UK4'. For more information about providing a valid organism, including new species, metagenomes (microbiomes) and metagenome-assembled genomes, see https://www.ncbi.nlm.nih.gov/biosample/docs/organism/.;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;X;M;M;M;M;M;M;M;M;M;M
Submitting lab;Q_PRIMARY_TISSUE;;Q_BIOLOGICAL_SAMPLE;Sample;;tissue;Organism part sampled;Sample;organism_part;;Type of tissue the sample was taken from.;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;X;M;-;-;-;-;-;-;M;M;-
Submitting lab;Q_GENDER;Q_SEX;Q_BIOLOGICAL_ENTITY;Sample;;sex;sex as physical sex (X and Y chromosome count);Sample;sex;;physical sex of sampled organism;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;M;X;-;-;-;-;-;-;X;M;-
Submitting lab;;Q_GENDER;Q_BIOLOGICAL_ENTITY;Sample;;gender;gender as perceived by individual;Sample;gender;;gender as perceived by individual;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;X;X;-;-;-;-;-;-;-;X;
Submitting lab;Q_CONDUCTED_BY_NAME;;Q_EXPERIMENTAL_DESIGN;Experiment;;biomaterial_provider;Biomaterial provider (lab of PI);;-;;name and address of the lab or PI, or a culture collection identifier;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;-;-;X;-;X;M;-
Submitting lab;Q_CONDUCTED_BY_NAME;;Q_SAMPLE_EXTRACTION;Experiment;;collected_by;Collected by (person or institute);;-;;Name of persons or institute who collected the sample;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;-;X;X;M;M;M;X;-;X;-;X
Sequencing facility;;Q_CONDUCTED_BY_FACILITY;Q_NGS_MEASUREMENT;Experiment;;run_center;Facility name;Run;run_center;;NGS Facility name / Facility ID;enum;VARCHAR;string;NEEDS DEFINITION;;;-;-;-;-;-;-;-;-;-;-;-;M;;;;;;;;;;
Sequencing facility;;Q_LIBRARY_ID;Q_NGS_SINGLE_SAMPLE_RUN;Sample;;library_ID;library ID;;-;;Short unique identifier for the sequencing library. Each library_ID MUST be unique!;;VARCHAR;string;;;;M;M;M;M;M;M;M;M;M;M;M;-;M;M;M;M;M;M;M;M;M;M
Sequencing facility;;Q_LIBRARY_NAME;Q_NGS_MEASUREMENT;Experiment;;library_name;Library name;Experiment;library_name;;Library name;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;
Sequencing facility;;Q_LIBRARY_STRATEGY;Q_NGS_MEASUREMENT;Experiment;;library_strategy;library strategy;Experiment;library_strategy;;Controlled vocabulary of terms describing overall strategy of the library. Terms used by TCGA include {WGS, WXS*, RNA-Seq*};enum;CONTROLLEDVOCABULARY;string;[WGS|WGA|WXS|RNA-seq|miRNA-Seq|ncRNA-Seq|NCS|CLONE|POOLCLONE|AMPLICON|CLONEEND|FINISHING|ChIP-Seq|MNase-Seq|DNase-Hypersensitivity|Bisulfite-Seq|EST|FL-cDNA|CTS|MRE-Seq|MeDIP-Seq|MBD-Seq|Tn-Seq|VALIDATION|FAIRE-Seq|SELEX|RIP-Seq|ChiA-PET|OTHER];;;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
Sequencing facility;;Q_LIBRARY_SOURCE;Q_NGS_MEASUREMENT;Experiment;;library_source;library source;Experiment;library_source;;Controlled vocabulary of terms describing starting material from the sample. Terms used by TCGA include {GENOMIC, TRANSCRIPTOMIC*};enum;CONTROLLEDVOCABULARY;string;[GENOMIC|TRANSCRIPTOMIC|METAGENOMIC|METATRANSCRIPTOMIC|SYNTHETIC|VIRAL RNA|OTHER];;;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
Sequencing facility;;Q_LIBRARY_SELECTION;Q_NGS_MEASUREMENT;Experiment;;library_selection;library selection;Experiment;library_selection;;Controlled vocabulary of terms describing selection or reduction method use in library construction. Terms used by TCGA include {Random, Hybrid Selection};enum;CONTROLLEDVOCABULARY;string;[RANDOM|PCR|RANDOM PCR|RT-PCR|HMPR|MF|repeat fractionation|size fractionation|MSLL|cDNA|ChIP|MNase|DNAse|Hybrid Selection|Reduced Representation|Restriction Digest|MBD2 protein methyl-CpG binding domain|CAGE|RACE|MDA|padlock probes capture method|other|unspecified];;;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
Sequencing facility;Q_SEQUENCING_MODE;;Q_NGS_MEASUREMENT;Experiment;;library_layout;library layout;Experiment;library_layout;;Paired-end or Single;enum;CONTROLLEDVOCABULARY;string;[paired-end|single];;;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
Sequencing facility;;Q_LIBRARY_CONSTRUCTION_PROTOCOL;Q_NGS_MEASUREMENT;Experiment;;library_construction_protocol;Library construction protocol;Experiment;library_construction_protocol;;Protocol by which the library was created;;MULTILINE_VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;
Sequencing facility;;Q_SEQUENCING_PLATFORM;Q_NGS_MEASUREMENT;Experiment;;platform;platform;Analysis;platform;;Controlled vocabulary of platform type {Illumina, LS454, AB_SOLID, CompleteGenomics};;VARCHAR;string;{text};;;M;M;M;M;M;M;M;M;M;M;M;-;M;M;M;M;M;M;M;M;M;M
Sequencing facility;Q_SEQUENCER_DEVICE;;Q_NGS_MEASUREMENT;Experiment;;instrument_model;instrument model;Experiment;instrument_model;;Controlled vocabulary of instrument models {Illumina Genome Analyzer II, etc};enum;VARCHAR;string;[Illumina Genome Analyzer|Illumina Genome Analyzer II|Illumina Genome Analyzer IIx|Illumina HiSeq 2500|Illumina HiSeq 2000 |Illumina HiSeq 1000 |Illumina MiSeq|Illumina HiScanSQ|HiSeq X Ten|NextSeq 500|HiSeq X Five|Illumina HiSeq 3000|Illumina HiSeq 4000|NextSeq 550|unspecified];;;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
Sequencing facility;Q_EXPERIMENTAL_SETUP;;Q_EXPERIMENTAL_DESIGN;Experiment;;design_description;design description;Experiment;design_description;;"Free-form description of the methods used to create the sequencing library; a brief 'materials and methods' section.";;VARCHAR;string;{text};;;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
Sequencing facility;;Q_PAIRED_NOMINAL_LENGTH;Q_NGS_MEASUREMENT;Experiment;;paired_nominal_length;Paired nominal length;Experiment;paired_nominal_length;;Average distance between the paired reads in a base pair;;VARCHAR;integer;{integer};;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
Sequencing facility;;Q_PAIRED_NOMINAL_SDEV;Q_NGS_MEASUREMENT;Experiment;;paired_nominal_sdev;Paired nominal standard deviation;Experiment;paired_nominal_sdev;;standard deviation of distance between the paired reads in a base pair;;VARCHAR;integer;{integer};;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
Sequencing facility;Q_SECONDARY_NAME;;Q_NGS_RAW_DATA;Data Set;;run_alias;Run name;Run;alias;;Unique alias for run;;VARCHAR;string;{text};;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
Sequencing facility;;Q_RUN_DATE;Q_NGS_RAW_DATA;Data Set;;run_date;Run date;Run;run_date;;Date of the run;;TIMESTAMP;string;{timestamp};2008-07-02T10:00:00;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
Sequencing facility;Q_SEQUENCER_DEVICE;;Q_NGS_MEASUREMENT;Experiment;;seq_meth;sequencing method - like Instrument model?;;-;;"Sequencing method used; e.g. Sanger, pyrosequencing, ABI-solid";enumeration;VARCHAR;string;[MinION|GridION|PromethION|454 GS|454 GS 20|454 GS FLX|454 GS FLX+|454 GS FLX Titanium|454 GS Junior|Illumina Genome Analyzer|Illumina Genome Analyzer II|Illumina Genome Analyzer IIx|Illumina HiSeq 4000|Illumina HiSeq 3000|Illumina HiSeq 2500|Illumina HiSeq 2000|Illumina HiSeq 1500|Illumina HiSeq 1000|Illumina HiScanSQ|Illumina MiSeq|Illumina HiSeq X Five|Illumina HiSeq X Ten|Illumina NextSeq 500|Illumina NextSeq 550|AB SOLiD System|AB SOLiD System 2.0|AB SOLiD System 3.0|AB SOLiD 3 Plus System|AB SOLiD 4 System|AB SOLiD 4hq System|AB SOLiD PI System|AB 5500 Genetic Analyzer|AB 5500xl Genetic Analyzer|AB 5500xl-W Genetic Analysis System|Ion Torrent PGM|Ion Torrent Proton|Ion Torrent S5|Ion Torrent S5 XL|PacBio RS|PacBio RS II|Sequel|AB 3730xL Genetic Analyzer|AB 3730 Genetic Analyzer|AB 3500xL Genetic Analyzer|AB 3500 Genetic Analyzer|AB 3130xL Genetic Analyzer|AB 3130 Genetic Analyzer|AB 310 Genetic Analyzer|BGISEQ-500];Illumina HiSeq 1500;sequencing;M;M;M;M;M;M;M;M;M;M;M;-;-;-;-;-;-;-;-;-;-;-
Auto-labelling?;;Q_FILE_TYPE;Q_NGS_RAW_DATA;Data Set;;run_filetype;filetype;Run;filetype;;File Type of the run;;VARCHAR;string;{text};;;-;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-
Auto-labelling?;Q_SECONDARY_NAME;;Q_NGS_RAW_DATA;Data Set;;run_filename;filename;Run;filename;;File name of the run;;VARCHAR;string;{text};;;-;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-
Auto-Labelling?;;Q_CHECKSUM_METHOD;Q_NGS_RAW_DATA;Data Set;;checksum_method;checksum method;Run;checksum_method;;Used checksum method to encrypt the file to be uploaded;;VARCHAR;string;{text};;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
Auto-Labelling?;;Q_CHECKSUM;Q_NGS_RAW_DATA;Data Set;;run_checksum;checksum for run;Run;checksum;;Calculated checksum of the file;;VARCHAR;string;{integer};;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
Auto-Labelling?;;Q_UNENCRYPTED_CHECKSUM;Q_NGS_RAW_DATA;Data Set;;run_unencrypted_checksum;Unencrypted checksum for run;Run;unencrypted_checksum;;unencrypted checksum of the file;;VARCHAR;string;{integer};;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;assembly;ncbi assembly name or accession number;Run;refname / accession;;This is only if you are submitting a bam file aligned against a NCBI assembly. Please provide NCBI name or accession number (e.g. GRCh37);;VARCHAR;string;{text};;;C;C;C;C;C;C;C;C;C;C;C;X;-;-;-;-;-;-;-;-;-;-
